FID,Project,StationName,TripCode,TripDate_UTC,SampleTime_Local,Latitude,Longitude,SecchiDepth_m,SampleDepth_m,SampleID,Salinity,Salinity_flag,DIC_umolkg,DIC_flag,Alkalinity_umolkg,Alkalinity_flag,Oxygen_umolL,Oxygen_flag,Ammonium_umolL,Ammonium_flag,Nitrate_umolL,Nitrate_flag,Nitrite_umolL,Nitrite_flag,Phosphate_umolL,Phosphate_flag,Silicate_umolL,Silicate_flag,TSSorganic_mgL,TSSinorganic_mgL,TSS_mgL,TSSall_flag,Prochlorococcus_cellsmL,Prochlorococcus_flag,Synechococcus_cellsmL,Synechococcus_flag,Picoeukaryotes_cellsmL,Picoeukaryotes_flag,Allo_mgm3,AlphaBetaCar_mgm3,Anth_mgm3,Asta_mgm3,BetaBetaCar_mgm3,BetaEpiCar_mgm3,Butfuco_mgm3,Cantha_mgm3,CphlA_mgm3,CphlB_mgm3,CphlC1_mgm3,CphlC2_mgm3,CphlC3_mgm3,CphlC1C2_mgm3,CphlideA_mgm3,Diadchr_mgm3,Diadino_mgm3,Diato_mgm3,Dino_mgm3,DvCphlA+CphlA_mgm3,DvCphlA_mgm3,DvCphlB+CphlB_mgm3,DvCphlB_mgm3,Echin_mgm3,Fuco_mgm3,Gyro_mgm3,Hexfuco_mgm3,Ketohexfuco_mgm3,Lut_mgm3,Lyco_mgm3,MgDvp_mgm3,Neo_mgm3,Perid_mgm3,PhideA_mgm3,PhytinA_mgm3,PhytinB_mgm3,Pras_mgm3,PyrophideA_mgm3,PyrophytinA_mgm3,Viola_mgm3,Zea_mgm3,Pigments_flag,AustralianMicrobiomeId,geom
combined_bgc_data.fid--91f2adb_18488613260_1237,NRS,North Stradbroke Island,NSI20100214,2010-02-14,2010-02-15 09:45:00,-27.345,153.562,25,40,NSI20100214_40,35.547,1,,9,,9,,9,0.03,1,5.8,1,,9,0.45,1,1.9,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,POINT (153.562 -27.345)
combined_bgc_data.fid--91f2adb_18488613260_1238,NRS,North Stradbroke Island,NSI20100214,2010-02-14,2010-02-15 09:45:00,-27.345,153.562,25,50,NSI20100214_50,35.514,1,2096.09,1,2326.55,1,,9,0,1,7.5,1,,9,0.52,1,2.4,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,POINT (153.562 -27.345)
combined_bgc_data.fid--91f2adb_18488613260_1239,NRS,North Stradbroke Island,NSI20100214,2010-02-14,2010-02-15 09:45:00,-27.345,153.562,25,57,NSI20100214_57,35.489,1,2101.88,1,2325.67,1,,9,0.01,1,8.1,1,,9,0.47,1,2.7,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,POINT (153.562 -27.345)
combined_bgc_data.fid--91f2adb_18488613260_123a,NRS,North Stradbroke Island,NSI20100214,2010-02-14,2010-02-15 09:30:00,-27.345,153.562,25,WC,NSI20100214_WC,,,,,,,,,,,,,,,,,,,0.2,0.4,0.6,1,23026.5,1,38055,1,3994.5,1,0,0.017,0,0,,,0.024,0,0.292,0.028,0.033,0,0.027,,0,0,0.013,0,0,0.299,0.007,0.028,0,0,0.085,0,0.041,0,0,0,0,0,0,0,0,0,0.004,0,0,0,0.037,2,,POINT (153.562 -27.345)
combined_bgc_data.fid--91f2adb_18488613260_123b,NRS,North Stradbroke Island,NSI20100322,2010-03-22,2010-03-23 09:30:00,-27.345,153.562,18,0,NSI20100322_0,35.161,1,1969.7,1,2297.11,1,,9,0.04,1,0,1,,9,0.04,1,0.1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,POINT (153.562 -27.345)
combined_bgc_data.fid--91f2adb_18488613260_123c,NRS,North Stradbroke Island,NSI20100322,2010-03-22,2010-03-23 09:30:00,-27.345,153.562,18,10,NSI20100322_10,35.168,1,1969.9,1,2298.77,1,,9,0,1,0,1,,9,0.04,1,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,POINT (153.562 -27.345)
combined_bgc_data.fid--91f2adb_18488613260_123d,NRS,North Stradbroke Island,NSI20100322,2010-03-22,2010-03-23 09:30:00,-27.345,153.562,18,20,NSI20100322_20,35.158,1,,9,,9,,9,0,1,0,1,,9,0.04,1,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,POINT (153.562 -27.345)
combined_bgc_data.fid--91f2adb_18488613260_123e,NRS,North Stradbroke Island,NSI20100322,2010-03-22,2010-03-23 09:30:00,-27.345,153.562,18,30,NSI20100322_30,35.166,1,1973.55,1,2297.92,1,,9,0.03,1,0.1,1,,9,0.05,1,0.1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,POINT (153.562 -27.345)
combined_bgc_data.fid--91f2adb_18488613260_123f,NRS,North Stradbroke Island,NSI20100322,2010-03-22,2010-03-23 09:30:00,-27.345,153.562,18,40,NSI20100322_40,35.177,1,,9,,9,,9,0.1,1,0.6,1,,9,0.12,1,0.5,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,POINT (153.562 -27.345)
combined_bgc_data.fid--91f2adb_18488613260_1240,NRS,North Stradbroke Island,NSI20100322,2010-03-22,2010-03-23 09:30:00,-27.345,153.562,18,50,NSI20100322_50,35.385,1,2042.69,1,2313.83,1,,9,0.04,1,4.1,1,,9,0.35,1,2.1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,POINT (153.562 -27.345)
